Date,Actual,LSTM_Pred,GRU_Pred
2023-11-29,194.7700042724609,199.66588,197.88593
2023-11-30,197.41000366210935,200.43588,197.05893
2023-12-01,191.97000122070312,201.08188,198.16339
2023-12-02,199.3999938964844,200.42801,195.4851
2023-12-03,199.72999572753903,200.66853,198.56609
2023-12-04,202.0399932861328,201.37733,200.34016
2023-12-05,201.8800048828125,202.68115,202.50932
2023-12-06,202.63999938964844,204.0269,203.33585
2023-12-07,188.13999938964844,205.29219,204.03827
2023-12-08,180.7400054931641,203.362,195.59712
2023-12-09,176.5399932861328,198.65434,187.07898
2023-12-10,178.64999389648438,192.53694,180.76157
2023-12-11,175.33999633789062,187.24193,179.41298
2023-12-12,177.77000427246094,182.76614,177.33754
2023-12-13,177.5399932861328,180.07338,178.04384
2023-12-14,169.47999572753906,178.82578,178.496
2023-12-15,162.5,177.12451,174.1173
2023-12-16,163.57000732421875,174.23799,167.91374
2023-12-17,173.8000030517578,171.44347,165.61719
2023-12-18,171.32000732421875,171.07181,170.72934
2023-12-19,175.66000366210938,171.64017,172.201
2023-12-20,172.82000732421875,173.48111,175.39293
2023-12-21,170.8300018310547,175.17181,175.23253
2023-12-22,172.6300048828125,176.11676,173.81577
2023-12-23,177.6699981689453,176.79814,174.06326
2023-12-24,179.8300018310547,178.12479,177.14378
2023-12-25,175.7899932861328,179.95378,179.96582
2023-12-26,175.22000122070312,180.96286,178.89508
2023-12-27,166.6300048828125,181.22583,177.83734
2023-12-28,168.3800048828125,179.38554,172.25424
2023-12-29,171.11000061035156,177.05669,170.50804
2023-12-30,164.89999389648438,175.3569,171.45268
2023-12-31,172.97999572753906,173.15503,168.54935
2024-01-01,176.8800048828125,172.59846,171.80995
2024-01-02,171.75999450683594,173.75195,175.8667
2024-01-03,174.60000610351562,174.71597,174.88869
2024-01-04,171.0500030517578,175.96413,175.83652
2024-01-05,161.47999572753906,176.46556,174.17624
2024-01-06,157.11000061035156,174.69402,167.73923
2024-01-07,155.4499969482422,171.2048,162.02686
2024-01-08,149.92999267578125,167.09175,158.47174
2024-01-09,147.0500030517578,162.38011,153.91042
2024-01-10,142.0500030517578,157.69106,150.28632
2024-01-11,144.67999267578125,152.97356,145.95169
2024-01-12,162.1300048828125,149.53703,145.51575
2024-01-13,170.17999267578125,150.42914,155.48712
2024-01-14,168.2899932861328,155.02437,165.55083
2024-01-15,194.0500030517578,160.66924,169.35588
2024-01-16,183.27999877929688,170.72154,185.59561
2024-01-17,179.99000549316406,179.51157,187.07967
2024-01-18,180.00999450683594,185.43839,184.99524
2024-01-19,181.19000244140625,188.59424,183.41962
2024-01-20,184.75999450683597,189.75302,183.17073
2024-01-21,177.80999755859375,190.20616,185.13806
2024-01-22,174.72000122070312,188.79747,182.03952
2024-01-23,171.97000122070312,186.04074,178.60889
2024-01-24,168.47000122070312,182.51971,175.36687
2024-01-25,171.88999938964844,178.57468,171.90196
2024-01-26,177.5500030517578,175.77686,172.37695
2024-01-27,173.99000549316406,175.17316,176.16063
2024-01-28,174.83999633789062,175.24353,176.11124
2024-01-29,177.4600067138672,175.88438,176.46936
2024-01-30,174.9499969482422,177.22913,178.107
2024-01-31,186.6000061035156,178.2598,177.42921
2024-02-01,180.11000061035156,181.14845,183.80562
2024-02-02,173.74000549316406,183.29112,183.17795
2024-02-03,179.24000549316406,183.46008,178.87485
2024-02-04,176.75,183.5442,179.81699
2024-02-05,176.19000244140625,183.04715,178.9593
2024-02-06,178.7899932861328,182.22377,178.24753
2024-02-07,178.0800018310547,181.85765,179.44777
2024-02-08,176.2899932861328,181.66588,179.68459
2024-02-09,174.77000427246094,181.27548,178.73503
2024-02-10,175.0,180.56529,177.34673
2024-02-11,177.94000244140625,179.85211,176.81424
2024-02-12,177.47999572753906,179.81772,178.33623
2024-02-13,173.7899932861328,180.07495,178.89342
2024-02-14,170.66000366210938,179.76576,176.98639
